symbol,series,open_price,high_price,low_price,ltp,prev_price,net_price,trade_quantity,turnover,market_type,ca_ex_dt,ca_purpose,perChange,legend,_collected_on
MOTHERSON,EQ,144.0,144.04,142.11,142.91,144.17,-0.87,5066543,7228.4368981,N,14-Jul-2026,Dividend - Rs 0.25 Per Share,-0.87,NIFTYNEXT50,2026-07-20
GODREJCP,EQ,1068.3,1069.5,1055.8,1063.5,1071.9,-0.78,102017,1082.4717819,N,12-May-2026,Interim Dividend - Rs 5 Per Share,-0.78,NIFTYNEXT50,2026-07-20
INDHOTEL,EQ,726.0,727.15,718.0,722.2,727.9,-0.78,1404931,10156.9486645,N,23-Jun-2026,Dividend - Rs 3.25 Per Share,-0.78,NIFTYNEXT50,2026-07-20
DLF,EQ,665.0,666.0,654.15,662.7,667.8,-0.76,1738480,11454.670872,N,27-Jul-2026,Dividend - Rs 8 Per Share,-0.76,NIFTYNEXT50,2026-07-20
BAJAJHLDNG,EQ,10369.0,10446.0,10286.0,10326.0,10398.0,-0.69,49619,5124.4220726,N,30-Jun-2026,Dividend - Rs 80 Per Share & Special Dividend Rs 50 Per Share,-0.69,NIFTYNEXT50,2026-07-20
HDFCAMC,EQ,2655.4,2659.0,2603.0,2633.2,2651.2,-0.68,499434,13090.015309800001,N,05-Jun-2026,Dividend - Rs 54 Per Share,-0.68,NIFTYNEXT50,2026-07-20
HAL,EQ,4500.0,4515.0,4461.0,4487.4,4500.7,-0.3,223453,10025.3082262,N,18-Feb-2026,Interim Dividend - Rs 35 Per Share,-0.3,NIFTYNEXT50,2026-07-20
PIDILITIND,EQ,1560.0,1576.9,1555.1,1561.7,1566.1,-0.28,488776,7646.167356,N,23-Jul-2026,Dividend - Rs 11.50 Per Share,-0.28,NIFTYNEXT50,2026-07-20
ABB,EQ,7495.5,7574.0,7416.5,7490.0,7506.0,-0.21,177448,13275.8253544,N,30-Apr-2026,Dividend - Rs 29.59 Per Share,-0.21,NIFTYNEXT50,2026-07-20
AMBUJACEM,EQ,436.8,438.95,432.0,437.6,438.5,-0.21,586248,2553.9307872,N,12-Jun-2026,Dividend - Rs 2 Per Share,-0.21,NIFTYNEXT50,2026-07-20
BOSCHLTD,EQ,40800.0,40950.0,40400.0,40830.0,40855.0,-0.06,21159,8597.441254500001,N,04-Aug-2026,Dividend - Rs 270 Per Share,-0.06,NIFTYNEXT50,2026-07-20
MAZDOCK,EQ,2335.0,2355.0,2323.0,2342.2,2342.8,-0.03,196661,4597.8751817,N,13-Feb-2026,Interim Dividend - Rs 7.50 Per Share,-0.03,NIFTYNEXT50,2026-07-20
AASTHA,EQ,115.0,122.0,105.33,107.79,116.14,-7.19,4033129,4557.8390829,N,-,-,-7.19,SecGtr20,2026-07-20
GNA,EQ,568.8,576.8,523.1,526.65,567.05,-7.12,1335179,7200.8873828,N,23-Jun-2026,Dividend - Rs 3 Per Share,-7.12,SecGtr20,2026-07-20
JAYNECOIND,EQ,90.0,90.0,82.8,85.27,90.28,-5.55,9070336,7808.6522624,N,20-Sep-2024,Annual General Meeting,-5.55,SecGtr20,2026-07-20
CAMPUS,EQ,232.8,232.8,220.84,223.3,235.97,-5.37,3930266,8857.6404842,N,10-Sep-2025,Dividend - Re 0.30 Per Share,-5.37,SecGtr20,2026-07-20
AXISBANK,EQ,1275.0,1284.0,1249.1,1257.9,1328.5,-5.31,20905511,263911.17086400004,N,10-Jul-2026,Dividend - Re 1 Per Share,-5.31,SecGtr20,2026-07-20
ONWARDTEC,EQ,280.35,282.9,270.2,270.8,285.8,-5.25,96835,265.424735,N,03-Jul-2026,Dividend - Rs 8 Per Share,-5.25,SecGtr20,2026-07-20
CURAA,EQ,78.0,78.0,73.26,74.0,78.0,-5.13,186,0.1394814,N,-,-,-5.13,SecGtr20,2026-07-20
JAIPURKURT,EQ,27.2,28.35,26.0,26.49,27.91,-5.09,77417,20.7245309,N,23-Sep-2024,Annual General Meeting,-5.09,SecGtr20,2026-07-20
CHEMBONDCH,BE,236.0,236.0,229.48,229.48,241.55,-5.0,14217,32.7346425,N,07-Aug-2025,Dividend - Rs 1.25 Per Share,-5.0,SecGtr20,2026-07-20
AFFORDABLE,BE,201.51,201.51,191.44,191.44,201.51,-5.0,14039,27.1668689,N,-,-,-5.0,SecGtr20,2026-07-20
RELINFRA,BE,63.12,67.88,63.12,63.12,66.44,-5.0,1961188,1248.8845184,N,12-Sep-2018,Annual General Meeting/Dividend Rs 9.50 Per Share,-5.0,SecGtr20,2026-07-20
